,pointid_in_layer,layer_name,lclass,index,geometry,id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDBI,NDWI,NDVI,BSI
38,358,SavannahGrassland,2,38,POINT (476857.4355282549 1279836.387311851),3728,0.05991110950708389,0.07360000163316727,0.10010000318288803,0.09910000115633011,0.1683250069618225,0.26682499051094055,0.3043999969959259,0.3192000091075897,0.34171876311302185,0.3495708405971527,0.3393312394618988,0.21984374523162842,0.030569924041628838,-0.5225375890731812,0.5261774063110352,-0.10376803576946259
39,171,SavannahGrassland,2,39,POINT (491684.74157056777 1272869.324335029),3541,0.04884374886751175,0.066600002348423,0.08940000087022781,0.058800000697374344,0.12710000574588776,0.3478187620639801,0.408237487077713,0.42320001125335693,0.4417562484741211,0.43694373965263367,0.2688624858856201,0.13099375367164612,-0.22301092743873596,-0.6511899828910828,0.7560166120529175,-0.4414494037628174
40,444,BareLand,6,40,POINT (485782.6814421266 1270216.5528148632),1144,0.11448124796152115,0.17579999566078186,0.23420000076293945,0.2856000065803528,0.32833749055862427,0.3482874929904938,0.3575187623500824,0.3440000116825104,0.35065001249313354,0.34778332710266113,0.4240812361240387,0.3806000053882599,0.10426142811775208,-0.18989968299865723,0.09275730699300766,0.12344013154506683
41,382,BareLand,6,41,POINT (483619.5553165219 1287514.7968499423),1082,0.11895625293254852,0.14419999718666077,0.2021999955177307,0.2524000108242035,0.29673126339912415,0.30581873655319214,0.32263123989105225,0.2937999963760376,0.31203123927116394,0.3194229304790497,0.4061562418937683,0.3510875105857849,0.16051895916461945,-0.18467742204666138,0.07579641044139862,0.1588953286409378
42,621,RoadsAndPavements,1,42,POINT (481867.9404352939 1275278.4461019137),3291,0.07539582997560501,0.10010000318288803,0.1120000034570694,0.11940000206232071,0.12905624508857727,0.13591249287128448,0.14623749256134033,0.133200004696846,0.1534937471151352,0.19294999539852142,0.20509375631809235,0.18080000579357147,0.21251870691776276,-0.08646003156900406,0.054631829261779785,0.12539830803871155
43,113,BareLand,6,43,POINT (487538.04932096833 1271531.3264472801),813,0.1171145811676979,0.08169999718666077,0.10019999742507935,0.12780000269412994,0.17091874778270721,0.23310625553131104,0.26128125190734863,0.2612000107765198,0.2862125039100647,0.3052979111671448,0.34254375100135803,0.24940000474452972,0.13473224639892578,-0.445489764213562,0.3429305851459503,0.04763227328658104
44,19,Forest,0,44,POINT (486963.927170166 1287769.8672811552),1989,0.06028958410024643,0.062199998646974564,0.08820000290870667,0.07880000025033951,0.1277250051498413,0.23333124816417694,0.275362491607666,0.3400000035762787,0.30570000410079956,0.3082124888896942,0.20315000414848328,0.11344374716281891,-0.25195619463920593,-0.5880429744720459,0.6236867308616638,-0.35319784283638
45,7,Building,3,45,POINT (493835.5610307005 1264901.86599134),1277,0.21146875619888306,0.32919999957084656,0.3776000142097473,0.3952000141143799,0.39237499237060547,0.38258126378059387,0.39742499589920044,0.3991999924182892,0.373081237077713,0.36660417914390564,0.4571000039577484,0.46491876244544983,0.06761649250984192,-0.02780638448894024,0.0050352467224001884,0.08291923254728317
46,37,Building,3,46,POINT (495662.2482406501 1266538.303825671),1307,0.08382916450500488,0.07000000029802322,0.10679999738931656,0.16279999911785126,0.1735125035047531,0.2038312554359436,0.21022500097751617,0.23240000009536743,0.2048562467098236,0.24649791419506073,0.24743124842643738,0.23442499339580536,0.03132611885666847,-0.37028300762176514,0.17611336708068848,0.13553689420223236
47,54,Building,3,47,POINT (484189.4563655524 1280488.6296309265),1324,0.10189791768789291,0.12720000743865967,0.19280000030994415,0.16979999840259552,0.19488750398159027,0.20132499933242798,0.21189375221729279,0.1979999989271164,0.22812500596046448,0.27710625529289246,0.31601250171661377,0.31325626373291016,0.22959071397781372,-0.013306038454174995,0.07667210698127747,0.19530470669269562
